ProductKey;OrderDate;DueDate;ShipDate;CustomerKey;PromotionKey;SalesTerritoryCountry;SalesTerritoryGroup;SalesOrderNumber;SalesOrderLineNumber;UnitPrice;ProductStandardCost;SalesAmount;TaxAmt;First Name;Last Name;BirthDate;MaritalStatus;Gender;EmailAddress;YearlyIncome;TotalChildren;NumberChildrenAtHome;EnglishEducation;EnglishOccupation;HouseOwnerFlag;DateFirstPurchase;CommuteDistance;ProductAlternateKey;ProductName;ProductSubcategory;ProductCategoryName;StandardCost;Color;ListPrice;Size;SizeRange;Weight;ProductLine;Class;Style;ModelName;EnglishPromotionName
330;31/12/2010;12/01/2011;7/01/2011;20042;1;;Europe;SO43708;1;;413,1463;699,0982;55,9279;Brad;Deng;1/11/1979;Married;I;brad2@adventure-works.com;40000;1;1;Bachelors;Skilled Manual;Y;31/12/2010;1-2 Miles;BK-R50R-52;Road-650 Red, 52;Road Bikes;Bikes;413,1463;Red;699,0982;52;48-52 CM;19,42;R ;L ;Unisex ;Road-650;No Discount
313;31/12/2010;12/01/2011;7/01/2011;16351;1;;Pacific;SO43709;1;;2171,2942;3578,27;286,2616;Martha;Xu;4/01/1960;Single;I;martha12@adventure-works.com;80000;2;0;;Skilled Manual;N;31/12/2010;1-2 Miles;BK-R93R-52;Road-150 Red, 52;Road Bikes;Bikes;2171,2942;Red;3578,27;52;48-52 CM;14,42;R ;H ;Unisex ;Road-150;No Discount
314;31/12/2010;12/01/2011;7/01/2011;16517;1;;Pacific;SO43710;1;;2171,2942;3578,27;286,2616;Katrina;Raji;16/09/1981;Married;I;katrina20@adventure-works.com;10000;1;1;;Manual;Y;31/12/2010;2-5 Miles;BK-R93R-56;Road-150 Red, 56;Road Bikes;Bikes;2171,2942;Red;3578,27;56;54-58 CM;14,68;R ;H ;Unisex ;Road-150;No Discount
314;1/01/2011;13/01/2011;8/01/2011;27606;1;;North America;SO43711;1;3578,27;2171,2942;3578,27;286,2616;Courtney;Edwards;24/11/1962;Single;I;courtney1@adventure-works.com;70000;2;1;;Professional;N;1/01/2011;0-1 Miles;BK-R93R-56;Road-150 Red, 56;Road Bikes;Bikes;2171,2942;Red;3578,27;56;54-58 CM;14,68;R ;H ;Unisex ;Road-150;No Discount
311;1/01/2011;13/01/2011;8/01/2011;13513;1;;Europe;SO43712;1;3578,27;2171,2942;3578,27;286,2616;Abigail;Henderson;8/03/1947;Married;I;abigail73@adventure-works.com;30000;1;0;;Clerical;Y;1/01/2011;0-1 Miles;BK-R93R-44;Road-150 Red, 44;Road Bikes;Bikes;2171,2942;Red;3578,27;44;42-46 CM;13,77;R ;H ;Unisex ;Road-150;No Discount
310;2/01/2011;14/01/2011;9/01/2011;27601;1;;North America;SO43713;1;3578,27;2171,2942;3578,27;286,2616;Sydney;Rogers;6/05/1970;Single;I;sydney3@adventure-works.com;60000;3;1;;Skilled Manual;N;2/01/2011;2-5 Miles;BK-R93R-62;Road-150 Red, 62;Road Bikes;Bikes;2171,2942;Red;3578,27;62;60-62 CM;15;R ;H ;Unisex ;Road-150;No Discount
311;2/01/2011;14/01/2011;9/01/2011;13591;1;;Europe;SO43714;1;3578,27;2171,2942;3578,27;286,2616;Latasha;Alonso;21/05/1964;Married;I;latasha8@adventure-works.com;170000;0;5;;Management;Y;2/01/2011;0-1 Miles;BK-R93R-44;Road-150 Red, 44;Road Bikes;Bikes;2171,2942;Red;3578,27;44;42-46 CM;13,77;R ;H ;Unisex ;Road-150;No Discount
314;2/01/2011;14/01/2011;9/01/2011;16483;1;;Pacific;SO43715;1;3578,27;2171,2942;3578,27;286,2616;Warren;Jai;13/10/1961;Married;O;warren42@adventure-works.com;40000;2;0;;Management;Y;2/01/2011;5-10 Miles;BK-R93R-56;Road-150 Red, 56;Road Bikes;Bikes;2171,2942;Red;3578,27;56;54-58 CM;14,68;R ;H ;Unisex ;Road-150;No Discount
311;2/01/2011;14/01/2011;9/01/2011;16529;1;;Pacific;SO43716;1;3578,27;2171,2942;3578,27;286,2616;Jonathon;Gutierrez;25/01/1983;Married;Male;jonathon8@adventure-works.com;20000;0;0;Bachelors;Clerical;Y;2/01/2011;0-1 Miles;BK-R93R-44;Road-150 Red, 44;Road Bikes;Bikes;2171,2942;Red;3578,27;44;42-46 CM;13,77;R ;H ;Unisex ;Road-150;No Discount
336;2/01/2011;14/01/2011;9/01/2011;25249;1;;Pacific;SO43717;1;699,0982;413,1463;699,0982;55,9279;Alexandra;Watson;5/02/1963;Single;Female;alexandra20@adventure-works.com;70000;1;0;Partial College;Skilled Manual;N;2/01/2011;0-1 Miles;BK-R50B-62;Road-650 Black, 62;Road Bikes;Bikes;413,1463;Black;699,0982;62;60-62 CM;20;R ;L ;Unisex ;Road-650;No Discount
311;3/01/2011;15/01/2011;10/01/2011;27668;1;;North America;SO43718;1;3578,27;2171,2942;3578,27;286,2616;Kevin;Gonzalez;25/04/1959;Single;Male;kevin46@adventure-works.com;70000;3;0;Graduate Degree;Management;Y;3/01/2011;5-10 Miles;BK-R93R-44;Road-150 Red, 44;Road Bikes;Bikes;2171,2942;Red;3578,27;44;42-46 CM;13,77;R ;H ;Unisex ;Road-150;No Discount
312;3/01/2011;15/01/2011;10/01/2011;27612;1;United States;North America;SO43719;1;3578,27;2171,2942;3578,27;286,2616;Lucas;Hill;18/11/1978;Married;Male;lucas45@adventure-works.com;60000;2;0;High School;Professional;Y;3/01/2011;5-10 Miles;BK-R93R-48;Road-150 Red, 48;Road Bikes;Bikes;2171,2942;Red;3578,27;48;48-52 CM;14,13;R ;H ;Unisex ;Road-150;No Discount
311;3/01/2011;15/01/2011;10/01/2011;13264;1;Germany;Europe;SO43720;1;3578,27;2171,2942;3578,27;286,2616;Melanie;Sanchez;20/11/1961;Married;Female;melanie47@adventure-works.com;120000;3;4;High School;Professional;Y;3/01/2011;5-10 Miles;BK-R93R-44;Road-150 Red, 44;Road Bikes;Bikes;2171,2942;Red;3578,27;44;42-46 CM;13,77;R ;H ;Unisex ;Road-150;No Discount
310;3/01/2011;15/01/2011;10/01/2011;13590;1;United Kingdom;Europe;SO43721;1;3578,27;2171,2942;3578,27;286,2616;Louis;Xie;15/11/1958;Married;Male;louis20@adventure-works.com;170000;0;5;Bachelors;Management;N;3/01/2011;10+ Miles;BK-R93R-62;Road-150 Red, 62;Road Bikes;Bikes;2171,2942;Red;3578,27;62;60-62 CM;15;R ;H ;Unisex ;Road-150;No Discount
312;4/01/2011;16/01/2011;11/01/2011;13581;1;United Kingdom;Europe;SO43722;1;3578,27;2171,2942;3578,27;286,2616;Albert;Blanco;17/04/1952;Married;Male;albert15@adventure-works.com;130000;4;4;Partial College;Professional;Y;4/01/2011;5-10 Miles;BK-R93R-48;Road-150 Red, 48;Road Bikes;Bikes;2171,2942;Red;3578,27;48;48-52 CM;14,13;R ;H ;Unisex ;Road-150;No Discount
332;4/01/2011;16/01/2011;11/01/2011;14520;1;United States;North America;SO43723;1;699,0982;413,1463;699,0982;55,9279;Bonnie;Xu;16/06/1984;Single;Female;bonnie10@adventure-works.com;40000;0;0;Partial College;Skilled Manual;N;4/01/2011;1-2 Miles;BK-R50B-58;Road-650 Black, 58;Road Bikes;Bikes;413,1463;Black;699,0982;58;54-58 CM;19,79;R ;L ;Unisex ;Road-650;No Discount
311;4/01/2011;16/01/2011;11/01/2011;16520;1;Australia;Pacific;SO43724;1;3578,27;2171,2942;3578,27;286,2616;Misty;Raji;22/04/1982;Married;Female;misty23@adventure-works.com;10000;1;1;High School;Manual;Y;4/01/2011;2-5 Miles;BK-R93R-44;Road-150 Red, 44;Road Bikes;Bikes;2171,2942;Red;3578,27;44;42-46 CM;13,77;R ;H ;Unisex ;Road-150;No Discount
311;5/01/2011;17/01/2011;12/01/2011;13258;1;Germany;Europe;SO43725;1;3578,27;2171,2942;3578,27;286,2616;Anne;Dominguez;31/08/1962;Married;Female;anne14@adventure-works.com;130000;2;4;Partial College;Professional;Y;5/01/2011;5-10 Miles;BK-R93R-44;Road-150 Red, 44;Road Bikes;Bikes;2171,2942;Red;3578,27;44;42-46 CM;13,77;R ;H ;Unisex ;Road-150;No Discount
332;5/01/2011;17/01/2011;12/01/2011;14560;1;United States;North America;SO43726;1;699,0982;413,1463;699,0982;55,9279;Kelvin;Huang;31/03/1976;Married;Male;kelvin25@adventure-works.com;50000;1;1;Bachelors;Skilled Manual;Y;5/01/2011;2-5 Miles;BK-R50B-58;Road-650 Black, 58;Road Bikes;Bikes;413,1463;Black;699,0982;58;54-58 CM;19,79;R ;L ;Unisex ;Road-650;No Discount
311;5/01/2011;17/01/2011;12/01/2011;16607;1;Australia;Pacific;SO43727;1;3578,27;2171,2942;3578,27;286,2616;Logan;Gonzales;23/02/1981;Married;Male;logan18@adventure-works.com;70000;0;0;Bachelors;Professional;Y;5/01/2011;10+ Miles;BK-R93R-44;Road-150 Red, 44;Road Bikes;Bikes;2171,2942;Red;3578,27;44;42-46 CM;13,77;R ;H ;Unisex ;Road-150;No Discount
313;6/01/2011;18/01/2011;13/01/2011;27666;1;United States;North America;SO43728;1;3578,27;2171,2942;3578,27;286,2616;Alyssa;Garcia;23/01/1960;Married;Female;alyssa16@adventure-works.com;60000;3;0;Partial High School;Skilled Manual;Y;6/01/2011;5-10 Miles;BK-R93R-52;Road-150 Red, 52;Road Bikes;Bikes;2171,2942;Red;3578,27;52;48-52 CM;14,42;R ;H ;Unisex ;Road-150;No Discount
346;6/01/2011;18/01/2011;13/01/2011;11238;1;United Kingdom;Europe;SO43729;1;3399,99;1912,1544;3399,99;271,9992;Mayra;Prasad;7/02/1964;Single;Female;mayra9@adventure-works.com;130000;2;3;Bachelors;Management;N;6/01/2011;0-1 Miles;BK-M82S-44;Mountain-100 Silver, 44;Mountain Bikes;Bikes;1912,1544;Silver;3399,99;44;42-46 CM;21,13;M ;H ;Unisex ;Mountain-100;No Discount
346;6/01/2011;18/01/2011;13/01/2011;25861;1;United States;North America;SO43730;1;3399,99;1912,1544;3399,99;271,9992;Garrett;Cooper;26/08/1950;Married;Male;garrett13@adventure-works.com;30000;5;0;Partial High School;Skilled Manual;Y;6/01/2011;10+ Miles;BK-M82S-44;Mountain-100 Silver, 44;Mountain Bikes;Bikes;1912,1544;Silver;3399,99;44;42-46 CM;21,13;M ;H ;Unisex ;Mountain-100;No Discount
314;6/01/2011;18/01/2011;13/01/2011;16629;1;Australia;Pacific;SO43731;1;3578,27;2171,2942;3578,27;286,2616;Rosa;Zheng;13/03/1978;Single;Female;rosa19@adventure-works.com;110000;0;5;High School;Management;Y;6/01/2011;10+ Miles;BK-R93R-56;Road-150 Red, 56;Road Bikes;Bikes;2171,2942;Red;3578,27;56;54-58 CM;14,68;R ;H ;Unisex ;Road-150;No Discount
312;6/01/2011;18/01/2011;13/01/2011;27577;1;United States;North America;SO43733;1;3578,27;2171,2942;3578,27;286,2616;Patrick;Cook;2/12/1963;Single;Male;patrick26@adventure-works.com;60000;1;0;Bachelors;Professional;N;6/01/2011;0-1 Miles;BK-R93R-48;Road-150 Red, 48;Road Bikes;Bikes;2171,2942;Red;3578,27;48;48-52 CM;14,13;R ;H ;Unisex ;Road-150;No Discount
312;7/01/2011;19/01/2011;14/01/2011;27604;1;United States;North America;SO43734;1;3578,27;2171,2942;3578,27;286,2616;Richard;Brooks;31/08/1962;Married;Male;richard81@adventure-works.com;60000;2;0;High School;Professional;Y;7/01/2011;5-10 Miles;BK-R93R-48;Road-150 Red, 48;Road Bikes;Bikes;2171,2942;Red;3578,27;48;48-52 CM;14,13;R ;H ;Unisex ;Road-150;No Discount
310;7/01/2011;19/01/2011;14/01/2011;16522;1;Australia;Pacific;SO43735;1;3578,27;2171,2942;3578,27;286,2616;Casey;Pal;1/01/1985;Married;Female;casey13@adventure-works.com;10000;1;1;High School;Manual;Y;7/01/2011;2-5 Miles;BK-R93R-62;Road-150 Red, 62;Road Bikes;Bikes;2171,2942;Red;3578,27;62;60-62 CM;15;R ;H ;Unisex ;Road-150;No Discount
311;8/01/2011;20/01/2011;15/01/2011;13261;1;Germany;Europe;SO43737;1;3578,27;2171,2942;3578,27;286,2616;Lindsey;Andersen;3/10/1962;Married;Female;lindsey14@adventure-works.com;130000;3;4;Partial College;Professional;N;8/01/2011;5-10 Miles;BK-R93R-44;Road-150 Red, 44;Road Bikes;Bikes;2171,2942;Red;3578,27;44;42-46 CM;13,77;R ;H ;Unisex ;Road-150;No Discount
312;8/01/2011;20/01/2011;15/01/2011;11606;1;France;Europe;SO43738;1;3578,27;2171,2942;3578,27;286,2616;Melody;Ramos;30/01/1986;Single;Female;melody17@adventure-works.com;10000;0;0;Partial High School;Manual;N;8/01/2011;0-1 Miles;BK-R93R-48;Road-150 Red, 48;Road Bikes;Bikes;2171,2942;Red;3578,27;48;48-52 CM;14,13;R ;H ;Unisex ;Road-150;No Discount
310;8/01/2011;20/01/2011;15/01/2011;13563;1;United Kingdom;Europe;SO43739;1;3578,27;2171,2942;3578,27;286,2616;Phillip;Sai;29/01/1975;Married;Male;phillip6@adventure-works.com;50000;0;0;Graduate Degree;Skilled Manual;N;8/01/2011;0-1 Miles;BK-R93R-62;Road-150 Red, 62;Road Bikes;Bikes;2171,2942;Red;3578,27;62;60-62 CM;15;R ;H ;Unisex ;Road-150;No Discount
312;8/01/2011;20/01/2011;15/01/2011;16527;1;Australia;Pacific;SO43740;1;3578,27;2171,2942;3578,27;286,2616;Cory;Arun;18/12/1983;Single;Male;cory5@adventure-works.com;20000;0;0;Bachelors;Clerical;Y;8/01/2011;0-1 Miles;BK-R93R-48;Road-150 Red, 48;Road Bikes;Bikes;2171,2942;Red;3578,27;48;48-52 CM;14,13;R ;H ;Unisex ;Road-150;No Discount
310;9/01/2011;21/01/2011;16/01/2011;27671;1;United States;North America;SO43741;1;3578,27;2171,2942;3578,27;286,2616;Jeremiah;Martinez;1/09/1958;Single;Male;jeremiah8@adventure-works.com;70000;3;0;Graduate Degree;Management;N;9/01/2011;1-2 Miles;BK-R93R-62;Road-150 Red, 62;Road Bikes;Bikes;2171,2942;Red;3578,27;62;60-62 CM;15;R ;H ;Unisex ;Road-150;No Discount
314;9/01/2011;21/01/2011;16/01/2011;13576;1;United Kingdom;Europe;SO43742;1;3578,27;2171,2942;3578,27;286,2616;Tamara;Lal;17/06/1961;Single;Female;tamara20@adventure-works.com;160000;3;4;Bachelors;Management;N;9/01/2011;0-1 Miles;BK-R93R-56;Road-150 Red, 56;Road Bikes;Bikes;2171,2942;Red;3578,27;56;54-58 CM;14,68;R ;H ;Unisex ;Road-150;No Discount
313;9/01/2011;21/01/2011;16/01/2011;16631;1;Australia;Pacific;SO43744;1;3578,27;2171,2942;3578,27;286,2616;Haley;Ward;16/09/1976;Single;Female;haley13@adventure-works.com;90000;0;0;Bachelors;Professional;Y;9/01/2011;10+ Miles;BK-R93R-52;Road-150 Red, 52;Road Bikes;Bikes;2171,2942;Red;3578,27;52;48-52 CM;14,42;R ;H ;Unisex ;Road-150;No Discount
311;10/01/2011;22/01/2011;17/01/2011;16514;1;Australia;Pacific;SO43745;1;3578,27;2171,2942;3578,27;286,2616;Manuel;Fernandez;10/07/1985;Single;Male;manuel14@adventure-works.com;10000;0;0;Partial College;Manual;Y;10/01/2011;1-2 Miles;BK-R93R-44;Road-150 Red, 44;Road Bikes;Bikes;2171,2942;Red;3578,27;44;42-46 CM;13,77;R ;H ;Unisex ;Road-150;No Discount
312;10/01/2011;22/01/2011;17/01/2011;16616;1;Australia;Pacific;SO43746;1;3578,27;2171,2942;3578,27;286,2616;Kelvin;Liang;2/06/1985;Single;Male;kelvin35@adventure-works.com;90000;0;0;Bachelors;Professional;N;10/01/2011;10+ Miles;BK-R93R-48;Road-150 Red, 48;Road Bikes;Bikes;2171,2942;Red;3578,27;48;48-52 CM;14,13;R ;H ;Unisex ;Road-150;No Discount
314;11/01/2011;23/01/2011;18/01/2011;27623;1;United States;North America;SO43747;1;3578,27;2171,2942;3578,27;286,2616;Christian;Jackson;2/06/1962;Single;Male;christian47@adventure-works.com;80000;3;0;Partial College;Professional;N;11/01/2011;0-1 Miles;BK-R93R-56;Road-150 Red, 56;Road Bikes;Bikes;2171,2942;Red;3578,27;56;54-58 CM;14,68;R ;H ;Unisex ;Road-150;No Discount
313;11/01/2011;23/01/2011;18/01/2011;27625;1;United States;North America;SO43748;1;3578,27;2171,2942;3578,27;286,2616;Alexandria;Hughes;29/09/1961;Single;Female;alexandria11@adventure-works.com;90000;2;1;Partial College;Professional;N;11/01/2011;10+ Miles;BK-R93R-52;Road-150 Red, 52;Road Bikes;Bikes;2171,2942;Red;3578,27;52;48-52 CM;14,42;R ;H ;Unisex ;Road-150;No Discount
314;11/01/2011;23/01/2011;18/01/2011;27636;1;United States;North America;SO43749;1;3578,27;2171,2942;3578,27;286,2616;Paige;Murphy;3/04/1968;Married;Female;paige39@adventure-works.com;100000;1;2;Partial College;Professional;Y;11/01/2011;5-10 Miles;BK-R93R-56;Road-150 Red, 56;Road Bikes;Bikes;2171,2942;Red;3578,27;56;54-58 CM;14,68;R ;H ;Unisex ;Road-150;No Discount
311;11/01/2011;23/01/2011;18/01/2011;11591;1;France;Europe;SO43750;1;3578,27;2171,2942;3578,27;286,2616;Stacey;Lu;12/11/1968;Single;Female;stacey12@adventure-works.com;30000;3;3;Partial College;Clerical;Y;11/01/2011;0-1 Miles;BK-R93R-44;Road-150 Red, 44;Road Bikes;Bikes;2171,2942;Red;3578,27;44;42-46 CM;13,77;R ;H ;Unisex ;Road-150;No Discount
313;11/01/2011;23/01/2011;18/01/2011;11592;1;France;Europe;SO43751;1;3578,27;2171,2942;3578,27;286,2616;Darrell;Raji;3/03/1984;Single;Male;darrell9@adventure-works.com;20000;0;0;High School;Manual;N;11/01/2011;2-5 Miles;BK-R93R-52;Road-150 Red, 52;Road Bikes;Bikes;2171,2942;Red;3578,27;52;48-52 CM;14,42;R ;H ;Unisex ;Road-150;No Discount
311;11/01/2011;23/01/2011;18/01/2011;13265;1;Germany;Europe;SO43752;1;3578,27;2171,2942;3578,27;286,2616;Luke;Adams;21/07/1961;Single;Male;luke46@adventure-works.com;120000;3;4;High School;Professional;Y;11/01/2011;5-10 Miles;BK-R93R-44;Road-150 Red, 44;Road Bikes;Bikes;2171,2942;Red;3578,27;44;42-46 CM;13,77;R ;H ;Unisex ;Road-150;No Discount
310;11/01/2011;23/01/2011;18/01/2011;16482;1;Australia;Pacific;SO43753;1;3578,27;2171,2942;3578,27;286,2616;Tabitha;Arthur;12/11/1955;Married;Female;tabitha5@adventure-works.com;30000;3;0;Partial College;Clerical;N;11/01/2011;5-10 Miles;BK-R93R-62;Road-150 Red, 62;Road Bikes;Bikes;2171,2942;Red;3578,27;62;60-62 CM;15;R ;H ;Unisex ;Road-150;No Discount
312;12/01/2011;24/01/2011;19/01/2011;27617;1;United States;North America;SO43754;1;3578,27;2171,2942;3578,27;286,2616;Morgan;Phillips;18/07/1980;Single;Female;morgan4@adventure-works.com;90000;0;0;Partial College;Professional;N;12/01/2011;5-10 Miles;BK-R93R-48;Road-150 Red, 48;Road Bikes;Bikes;2171,2942;Red;3578,27;48;48-52 CM;14,13;R ;H ;Unisex ;Road-150;No Discount
311;12/01/2011;24/01/2011;19/01/2011;27670;1;United States;North America;SO43755;1;3578,27;2171,2942;3578,27;286,2616;Kayla;Long;1/01/1970;Single;Female;kayla33@adventure-works.com;70000;3;0;Graduate Degree;Management;N;12/01/2011;1-2 Miles;BK-R93R-44;Road-150 Red, 44;Road Bikes;Bikes;2171,2942;Red;3578,27;44;42-46 CM;13,77;R ;H ;Unisex ;Road-150;No Discount
332;12/01/2011;24/01/2011;19/01/2011;19941;1;United Kingdom;Europe;SO43756;1;699,0982;413,1463;699,0982;55,9279;Cedric;Liang;8/09/1954;Single;Male;cedric16@adventure-works.com;160000;3;5;High School;Management;N;12/01/2011;0-1 Miles;BK-R50B-58;Road-650 Black, 58;Road Bikes;Bikes;413,1463;Black;699,0982;58;54-58 CM;19,79;R ;L ;Unisex ;Road-650;No Discount
310;13/01/2011;25/01/2011;20/01/2011;27646;1;United States;North America;SO43758;1;3578,27;2171,2942;3578,27;286,2616;Jackson;Li;13/05/1967;Single;Male;jackson28@adventure-works.com;130000;1;3;Bachelors;Management;N;13/01/2011;2-5 Miles;BK-R93R-62;Road-150 Red, 62;Road Bikes;Bikes;2171,2942;Red;3578,27;62;60-62 CM;15;R ;H ;Unisex ;Road-150;No Discount
310;13/01/2011;25/01/2011;20/01/2011;13257;1;Germany;Europe;SO43759;1;3578,27;2171,2942;3578,27;286,2616;Jon;Chander;3/01/1963;Married;Male;jon12@adventure-works.com;130000;2;4;Partial College;Professional;Y;13/01/2011;0-1 Miles;BK-R93R-62;Road-150 Red, 62;Road Bikes;Bikes;2171,2942;Red;3578,27;62;60-62 CM;15;R ;H ;Unisex ;Road-150;No Discount
314;13/01/2011;25/01/2011;20/01/2011;16352;1;Australia;Pacific;SO43760;1;3578,27;2171,2942;3578,27;286,2616;Tiffany;Gao;2/08/1965;Single;Female;tiffany15@adventure-works.com;80000;2;0;Partial College;Skilled Manual;Y;13/01/2011;5-10 Miles;BK-R93R-56;Road-150 Red, 56;Road Bikes;Bikes;2171,2942;Red;3578,27;56;54-58 CM;14,68;R ;H ;Unisex ;Road-150;No Discount
310;13/01/2011;25/01/2011;20/01/2011;16493;1;Australia;Pacific;SO43761;1;3578,27;2171,2942;3578,27;286,2616;Brenda;Fernandez;5/05/1959;Married;Female;brenda19@adventure-works.com;40000;3;0;Partial College;Skilled Manual;Y;13/01/2011;5-10 Miles;BK-R93R-62;Road-150 Red, 62;Road Bikes;Bikes;2171,2942;Red;3578,27;62;60-62 CM;15;R ;H ;Unisex ;Road-150;No Discount
314;14/01/2011;26/01/2011;21/01/2011;27578;1;United States;North America;SO43762;1;3578,27;2171,2942;3578,27;286,2616;Courtney;Carter;7/05/1964;Married;Female;courtney8@adventure-works.com;60000;1;0;Bachelors;Professional;Y;14/01/2011;2-5 Miles;BK-R93R-56;Road-150 Red, 56;Road Bikes;Bikes;2171,2942;Red;3578,27;56;54-58 CM;14,68;R ;H ;Unisex ;Road-150;No Discount
313;14/01/2011;26/01/2011;21/01/2011;16525;1;Australia;Pacific;SO43763;1;3578,27;2171,2942;3578,27;286,2616;Martha;Liang;22/11/1983;Married;Female;martha16@adventure-works.com;20000;0;0;Bachelors;Clerical;N;14/01/2011;0-1 Miles;BK-R93R-52;Road-150 Red, 52;Road Bikes;Bikes;2171,2942;Red;3578,27;52;48-52 CM;14,42;R ;H ;Unisex ;Road-150;No Discount
